"id_config","id_variable","tipo_variable","clave","valor","descripcion","tipo_valor","items","dependent_clave","dependent_valor","editable","co_operation","da_update"
49,10,"P","userCanChangeWarehouse","false","<p align=""justify""><b>¿Puede el vendedor cambiar el almacén? </b><br> SI: El usuario podrá cambiar el almacen al seleccionar los productos <br> NO: El usuario no puede cambiar el almacen</p>","selectBoolean","","","",True,"I","2026-02-12 17:03:39.165679"
50,11,"P","userCanSelectGlobalDiscount","false","<p align=""justify""><b>¿Puede el vendedor asignar descuento global en el pedido? </b><br> SI: Se habilita un campo para asignar descuento global creado desde la web para la app móvil <br> NO: No se habilita el campo descuento global</p>","selectBoolean","","","",True,"I","2026-03-19 14:05:58.758602"
51,12,"P","userCanSelectProductDiscount","false","<p align=""justify""><b>¿Puede el vendedor asignar descuento por producto en el pedido? </b><br> SI: Permite que el vendedor pueda cambiar el descuento por producto  <br> NO: El vendedor no puede editar el descuento por producto</p>","selectBoolean","","","",True,"I","2026-03-16 20:17:26.868885"
52,13,"P","userCanSelectIVA","false","<p align=""justify""><b>¿Desean mostrar el IVA en el pedido? </b><br> SI: Se mostrará el campo de ""IVA"" <br> NO: No se muestra el campo de ""IVA""</p>","selectBoolean","","","",True,"I","2026-06-10 09:51:25.221549"
53,14,"P","showTotalization","true","<p align=""justify""><b>¿Desea visualizar los totales por separado en el reporte de pedidos?</b><br> SI: Se mostrará los totales separados<BR> NO: Solo se mostrará el monto total</p>","selectBoolean","","","",True,"I","2025-10-13 09:35:54.40756"
54,15,"P","totalUnit","false","<p align=""justify""><b>¿Desea ver la cantidad de unidades seleccionadas en la totalización de los pedidos? </b><br> SI: Se habilita un campo para mostrar el total de unidades <br> NO: no se habilita el campo</p>","selectBoolean","","","",True,"I","2026-04-28 19:01:55.683667"
55,16,"P","showTransactionCurrency","true","<p align=""justify""><b>¿Desea visualizar solamente la moneda de la transacción?</b><br> SI: Se mostrará solamente la moneda de la transacción<BR> NO: Se mostrará ambas monedas</p>","selectBoolean","","","",True,"I","2026-04-28 19:01:55.683667"
56,17,"P","showTotalProductUnit","false","<p align=""justify""><b>¿Desea visualizar totalizacion por unidad?</b><br> SI: Se mostrará totalización por unidad seleccionada<BR> NO: No se totaliza por unidad</p>","selectBoolean","","","",False,"I","2026-02-12 13:54:51.615621"
57,18,"P","codeTotalProductUnit","BUL","<p align=""justify""><b>Seleccione la unidad a totalizar</b></p>","selectText","Unit1,Unit2","","",True,"I","2026-03-19 14:05:58.758602"
58,19,"P","clientsOrderBy","co_client","<p align=""justify""><b>¿Qué campo desea usar para ordenar la lista de clientes? </b><br> ""co_client"" para ordenar los clientes por código <br> ""na_client"" para ordenar los clientes por nombre <br> ""due_date"" para ordernar los clientes que mayor deuda vencida poseen</p>","selectText","co_client,na_client,due_date","","",True,"I","2026-04-29 17:18:47.901675"
